Address: 0x00001234, Set: 0x2, Miss, Tag: 0x2
Address: 0x00005678, Set: 0x6, Miss, Tag: 0xa
Address: 0x00009abc, Set: 0x2, Miss, Tag: 0x13
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Miss, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Miss, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00009abc, Set: 0x2, Hit, Tag: 0x13
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x0000deff, Set: 0x6, Hit, Tag: 0x1b
Address: 0x00001234, Set: 0x2, Hit, Tag: 0x2
Address: 0x00005678, Set: 0x6, Hit, Tag: 0xa
98 hits
10 misses
